#longitudeOrigine,latitudeOrigine,longExtremite,latExtremite
7.07988,43.612627,7.079741,43.612517
7.078922,43.611973,7.079138,43.612115
7.078933,43.612575,7.079151,43.612440
7.079885,43.611893,7.079778,43.612091
7.079405,43.611843,7.079398,43.611951
7.078757,43.612213,7.078949,43.612260
7.079317,43.612912,7.079334,43.612724
7.080276,43.612256,7.080104,43.612274
7.079686,43.612797,7.079549,43.612703
7.079028,43.612753,7.079243,43.612669
7.080097,43.612524,7.079961,43.612418
7.080070,43.612060,7.079982,43.612128
7.079162,43.611893,7.079295,43.612002
7.079575,43.611924,7.079488,43.611980
